sentence_id,words,labels
0,Hoverla,B-MOUNTAIN
0,the,O
0,highest,O
0,peak,O
0,in,O
0,the,O
0,Carpathian,O
0,"Mountains,",O
0,offers,O
0,breathtaking,O
0,views,O
0,of,O
0,the,O
0,surrounding,O
0,landscape.,O
1,Sinyak,B-MOUNTAIN
1,is,O
1,a,O
1,challenging,O
1,mountain,O
1,to,O
1,"climb,",O
1,but,O
1,the,O
1,sense,O
1,of,O
1,accomplishment,O
1,at,O
1,the,O
1,summit,O
1,is,O
1,worth,O
1,the,O
1,effort.,O
2,Makovytsia,B-MOUNTAIN
2,with,O
2,its,O
2,lush,O
2,green,O
2,"slopes,",O
2,is,O
2,a,O
2,haven,O
2,for,O
2,nature,O
2,enthusiasts,O
2,and,O
2,hikers,O
2,alike.,O
3,Petros,B-MOUNTAIN
3,standing,O
3,proudly,O
3,in,O
3,the,O
3,"distance,",O
3,beckons,O
3,adventurers,O
3,to,O
3,explore,O
3,its,O
3,rugged,O
3,trails.,O
4,Shpici,B-MOUNTAIN
4,although,O
4,not,O
4,as,O
4,"well-known,",O
4,has,O
4,its,O
4,own,O
4,unique,O
4,charm,O
4,and,O
4,allure,O
4,for,O
4,those,O
4,seeking,O
4,solitude.,O
5,Exploring,O
5,the,O
5,dense,O
5,forests,O
5,around,O
5,Hoverla,B-MOUNTAIN
5,reveals,O
5,a,O
5,diverse,O
5,ecosystem,O
5,of,O
5,flora,O
5,and,O
5,fauna.,O
6,Sinyak,B-MOUNTAIN
6,rocky,O
6,terrain,O
6,poses,O
6,a,O
6,thrilling,O
6,adventure,O
6,for,O
6,rock,O
6,climbers,O
6,seeking,O
6,an,O
6,adrenaline,O
6,rush.,O
7,Makovytsia,B-MOUNTAIN
7,surrounded,O
7,by,O
7,alpine,O
7,"meadows,",O
7,is,O
7,a,O
7,picturesque,O
7,destination,O
7,for,O
7,a,O
7,relaxing,O
7,getaway.,O
8,Petros,B-MOUNTAIN
8,is,O
8,often,O
8,shrouded,O
8,in,O
8,"mist,",O
8,adding,O
8,an,O
8,air,O
8,of,O
8,mystery,O
8,to,O
8,its,O
8,already,O
8,majestic,O
8,presence.,O
9,Shpici,B-MOUNTAIN
9,serene,O
9,surroundings,O
9,make,O
9,it,O
9,an,O
9,ideal,O
9,spot,O
9,for,O
9,meditation,O
9,and,O
9,self-reflection.,O
10,Nestled,O
10,in,O
10,the,O
10,"Carpathians,",O
10,Hoverla,B-MOUNTAIN
10,is,O
10,a,O
10,hotspot,O
10,for,O
10,both,O
10,winter,O
10,and,O
10,summer,O
10,outdoor,O
10,activities.,O
11,Sinyak,B-MOUNTAIN
11,snow-capped,O
11,peaks,O
11,create,O
11,a,O
11,stunning,O
11,contrast,O
11,against,O
11,the,O
11,deep,O
11,blue,O
11,sky.,O
12,Makovytsia,B-MOUNTAIN
12,known,O
12,for,O
12,its,O
12,"wildflowers,",O
12,becomes,O
12,a,O
12,vibrant,O
12,tapestry,O
12,during,O
12,the,O
12,spring,O
12,season.,O
13,Petros,B-MOUNTAIN
13,with,O
13,its,O
13,imposing,O
13,"cliffs,",O
13,is,O
13,a,O
13,popular,O
13,destination,O
13,for,O
13,daredevil,O
13,climbers.,O
14,Shpici,B-MOUNTAIN
14,remote,O
14,location,O
14,attracts,O
14,intrepid,O
14,explorers,O
14,seeking,O
14,untouched,O
14,wilderness.,O
15,Hoverla,B-MOUNTAIN
15,summit,O
15,provides,O
15,an,O
15,unobstructed,O
15,panorama,O
15,of,O
15,the,O
15,surrounding,O
15,mountain,O
15,range.,O
16,Sinyak,B-MOUNTAIN
16,valleys,O
16,are,O
16,home,O
16,to,O
16,pristine,O
16,streams,O
16,and,O
16,cascading,O
16,"waterfalls,",O
16,adding,O
16,to,O
16,its,O
16,allure.,O
17,Makovytsia,B-MOUNTAIN
17,trails,O
17,wind,O
17,through,O
17,ancient,O
17,"forests,",O
17,revealing,O
17,the,O
17,mountain's,O
17,rich,O
17,biodiversity.,O
18,Petros,B-MOUNTAIN
18,with,O
18,its,O
18,challenging,O
18,"ascent,",O
18,is,O
18,a,O
18,favorite,O
18,among,O
18,mountaineering,O
18,enthusiasts.,O
19,Shpici,B-MOUNTAIN
19,alpine,O
19,lakes,O
19,are,O
19,hidden,O
19,"gems,",O
19,offering,O
19,a,O
19,peaceful,O
19,retreat,O
19,for,O
19,nature,O
19,lovers.,O
20,Hoverla,B-MOUNTAIN
20,standing,O
20,"tall,",O
20,is,O
20,a,O
20,symbol,O
20,of,O
20,the,O
20,natural,O
20,beauty,O
20,that,O
20,the,O
20,Carpathian,O
20,Mountains,O
20,hold.,O
21,Sinyak,B-MOUNTAIN
21,rugged,O
21,beauty,O
21,is,O
21,a,O
21,testament,O
21,to,O
21,the,O
21,untamed,O
21,wilderness,O
21,found,O
21,in,O
21,the,O
21,region.,O
22,Makovytsia,B-MOUNTAIN
22,meadows,O
22,are,O
22,alive,O
22,with,O
22,the,O
22,buzzing,O
22,sounds,O
22,of,O
22,insects,O
22,and,O
22,the,O
22,chirping,O
22,of,O
22,birds.,O
23,Petros,B-MOUNTAIN
23,named,O
23,after,O
23,a,O
23,legendary,O
23,"figure,",O
23,is,O
23,steeped,O
23,in,O
23,folklore,O
23,and,O
23,local,O
23,traditions.,O
24,Shpici,B-MOUNTAIN
24,though,O
24,less,O
24,"visited,",O
24,captivates,O
24,those,O
24,who,O
24,seek,O
24,solitude,O
24,and,O
24,a,O
24,connection,O
24,with,O
24,nature.,O
25,Climbing,O
25,Hoverla,B-MOUNTAIN
25,during,O
25,the,O
25,winter,O
25,months,O
25,provides,O
25,a,O
25,completely,O
25,different,O
25,but,O
25,equally,O
25,enchanting,O
25,experience.,O
26,Sinyak,B-MOUNTAIN
26,bathed,O
26,in,O
26,the,O
26,warm,O
26,hues,O
26,of,O
26,the,O
26,setting,O
26,"sun,",O
26,is,O
26,a,O
26,sight,O
26,to,O
26,behold.,O
27,Makovytsia,B-MOUNTAIN
27,foothills,O
27,are,O
27,adorned,O
27,with,O
27,charming,O
27,"villages,",O
27,welcoming,O
27,visitors,O
27,with,O
27,hospitality.,O
28,Petros,B-MOUNTAIN
28,a,O
28,challenging,O
28,"climb,",O
28,rewards,O
28,adventurers,O
28,with,O
28,unparalleled,O
28,views,O
28,of,O
28,the,O
28,Carpathians.,O
29,Shpici,B-MOUNTAIN
29,trails,O
29,offer,O
29,a,O
29,chance,O
29,to,O
29,encounter,O
29,diverse,O
29,"wildlife,",O
29,from,O
29,elusive,O
29,deer,O
29,to,O
29,soaring,O
29,eagles.,O
30,Hoverla,B-MOUNTAIN
30,slopes,O
30,are,O
30,adorned,O
30,with,O
30,vibrant,O
30,wildflowers,O
30,during,O
30,the,O
30,summer,O
30,months.,O
31,Sinyak,B-MOUNTAIN
31,rocky,O
31,outcrops,O
31,are,O
31,a,O
31,playground,O
31,for,O
31,skilled,O
31,rock,O
31,climbers,O
31,and,O
31,bouldering,O
31,enthusiasts.,O
32,Makovytsia,B-MOUNTAIN
32,with,O
32,its,O
32,accessible,O
32,"trails,",O
32,is,O
32,suitable,O
32,for,O
32,hikers,O
32,of,O
32,all,O
32,skill,O
32,levels.,O
33,Petros,B-MOUNTAIN
33,"summit,",O
33,kissed,O
33,by,O
33,the,O
33,first,O
33,light,O
33,of,O
33,"dawn,",O
33,is,O
33,a,O
33,magical,O
33,moment,O
33,for,O
33,early,O
33,risers.,O
34,Shpici,B-MOUNTAIN
34,hidden,O
34,away,O
34,from,O
34,the,O
34,tourist,O
34,"crowds,",O
34,provides,O
34,a,O
34,tranquil,O
34,escape,O
34,for,O
34,those,O
34,seeking,O
34,solitude.,O
35,The,O
35,valleys,O
35,surrounding,O
35,Hoverla,B-MOUNTAIN
35,are,O
35,home,O
35,to,O
35,unique,O
35,plant,O
35,species,O
35,adapted,O
35,to,O
35,the,O
35,mountainous,O
35,climate.,O
36,Sinyak,B-MOUNTAIN
36,craggy,O
36,peaks,O
36,are,O
36,silhouetted,O
36,against,O
36,the,O
36,evening,O
36,"sky,",O
36,creating,O
36,a,O
36,dramatic,O
36,scene.,O
37,Makovytsia,B-MOUNTAIN
37,diverse,O
37,ecosystem,O
37,supports,O
37,a,O
37,variety,O
37,of,O
37,"wildlife,",O
37,from,O
37,butterflies,O
37,to,O
37,elusive,O
37,mammals.,O
38,Petros,B-MOUNTAIN
38,with,O
38,its,O
38,challenging,O
38,"ascent,",O
38,attracts,O
38,climbers,O
38,from,O
38,around,O
38,the,O
38,world.,O
39,Shpici,B-MOUNTAIN
39,remote,O
39,location,O
39,allows,O
39,for,O
39,"stargazing,",O
39,offering,O
39,a,O
39,clear,O
39,view,O
39,of,O
39,the,O
39,night,O
39,sky.,O
40,Hoverla,B-MOUNTAIN
40,with,O
40,its,O
40,snow-covered,O
40,"slopes,",O
40,transforms,O
40,into,O
40,a,O
40,winter,O
40,wonderland,O
40,during,O
40,the,O
40,colder,O
40,months.,O
41,Sinyak,B-MOUNTAIN
41,meandering,O
41,trails,O
41,lead,O
41,to,O
41,hidden,O
41,"viewpoints,",O
41,rewarding,O
41,hikers,O
41,with,O
41,stunning,O
41,vistas.,O
42,Makovytsia,B-MOUNTAIN
42,alpine,O
42,lakes,O
42,reflect,O
42,the,O
42,surrounding,O
42,"peaks,",O
42,creating,O
42,a,O
42,mirror-like,O
42,effect.,O
43,Petros,B-MOUNTAIN
43,ancient,O
43,rock,O
43,formations,O
43,tell,O
43,a,O
43,geological,O
43,story,O
43,that,O
43,spans,O
43,thousands,O
43,of,O
43,years.,O
44,Shpici,B-MOUNTAIN
44,with,O
44,its,O
44,untouched,O
44,"landscapes,",O
44,is,O
44,a,O
44,haven,O
44,for,O
44,photographers,O
44,capturing,O
44,the,O
44,raw,O
44,beauty,O
44,of,O
44,nature.,O
45,Exploring,O
45,Hoverla's,B-MOUNTAIN
45,foothills,O
45,reveals,O
45,charming,O
45,villages,O
45,and,O
45,a,O
45,rich,O
45,cultural,O
45,heritage.,O
46,Sinyak,B-MOUNTAIN
46,with,O
46,its,O
46,challenging,O
46,"terrain,",O
46,is,O
46,a,O
46,playground,O
46,for,O
46,adrenaline,O
46,junkies,O
46,seeking,O
46,adventure.,O
47,Makovytsia,B-MOUNTAIN
47,blanketed,O
47,in,O
47,snow,O
47,during,O
47,"winter,",O
47,is,O
47,a,O
47,serene,O
47,and,O
47,peaceful,O
47,destination.,O
48,Petros,B-MOUNTAIN
48,towering,O
48,cliffs,O
48,provide,O
48,nesting,O
48,grounds,O
48,for,O
48,"birds,",O
48,creating,O
48,a,O
48,birdwatcher's,O
48,paradise.,O
49,Shpici,B-MOUNTAIN
49,embraced,O
49,by,O
49,the,O
49,tranquility,O
49,of,O
49,"nature,",O
49,invites,O
49,visitors,O
49,to,O
49,disconnect,O
49,and,O
49,rejuvenate.,O
50,The,O
50,Carpathian,O
50,"Mountains,",O
50,encompassing,O
50,"Hoverla,",B-MOUNTAIN
50,are,O
50,known,O
50,for,O
50,their,O
50,diverse,O
50,ecosystems,O
50,and,O
50,stunning,O
50,landscapes.,O
51,With,O
51,its,O
51,challenging,O
51,"trails,",O
51,Sinyak,B-MOUNTAIN
51,Mountain,I-MOUNTAIN
51,attracts,O
51,adventure,O
51,enthusiasts,O
51,from,O
51,around,O
51,the,O
51,world.,O
52,Makovytsia,B-MOUNTAIN
52,surrounded,O
52,by,O
52,alpine,O
52,"meadows,",O
52,is,O
52,a,O
52,hidden,O
52,gem,O
52,in,O
52,the,O
52,Carpathian,O
52,region.,O
53,Adventurers,O
53,often,O
53,seek,O
53,the,O
53,rugged,O
53,trails,O
53,of,O
53,Petros,B-MOUNTAIN
53,for,O
53,an,O
53,adrenaline-fueled,O
53,hiking,O
53,experience.,O
54,Amidst,O
54,the,O
54,"tranquility,",O
54,Shpici,B-MOUNTAIN
54,mountain,O
54,stands,O
54,"tall,",O
54,offering,O
54,panoramic,O
54,views,O
54,of,O
54,the,O
54,surrounding,O
54,valleys.,O
55,Hoverla,B-MOUNTAIN
55,a,O
55,symbol,O
55,of,O
55,natural,O
55,"beauty,",O
55,invites,O
55,hikers,O
55,to,O
55,explore,O
55,its,O
55,breathtaking,O
55,slopes.,O
56,Rock,O
56,climbers,O
56,admire,O
56,Sinyak's,B-MOUNTAIN
56,rocky,O
56,"terrain,",O
56,testing,O
56,their,O
56,skills,O
56,against,O
56,its,O
56,formidable,O
56,peaks.,O
57,The,O
57,vibrant,O
57,wildflowers,O
57,of,O
57,Makovytsia,B-MOUNTAIN
57,create,O
57,a,O
57,colorful,O
57,tapestry,O
57,during,O
57,the,O
57,spring,O
57,season.,O
58,Mist-shrouded,O
58,Petros,B-MOUNTAIN
58,adds,O
58,an,O
58,air,O
58,of,O
58,mystery,O
58,to,O
58,the,O
58,"Carpathians,",O
58,captivating,O
58,all,O
58,who,O
58,visit.,O
59,Meditating,O
59,by,O
59,the,O
59,serene,O
59,Shpici,B-MOUNTAIN
59,mountain,O
59,is,O
59,a,O
59,soul-soothing,O
59,experience,O
59,for,O
59,nature,O
59,lovers.,O
60,Winter,O
60,activities,O
60,in,O
60,the,O
60,Carpathian,O
60,"Mountains,",O
60,including,O
60,"Hoverla,",B-MOUNTAIN
60,attract,O
60,snow,O
60,sports,O
60,enthusiasts.,O
61,The,O
61,snow-capped,O
61,peaks,O
61,of,O
61,Sinyak,B-MOUNTAIN
61,provide,O
61,a,O
61,striking,O
61,contrast,O
61,against,O
61,the,O
61,clear,O
61,winter,O
61,sky.,O
62,Makovytsia,B-MOUNTAIN
62,"meadows,",O
62,buzzing,O
62,with,O
62,"life,",O
62,offer,O
62,a,O
62,haven,O
62,for,O
62,various,O
62,flora,O
62,and,O
62,fauna.,O
63,Climbers,O
63,conquer,O
63,Petros',B-MOUNTAIN
63,imposing,O
63,"cliffs,",O
63,driven,O
63,by,O
63,the,O
63,allure,O
63,of,O
63,its,O
63,challenging,O
63,ascent.,O
64,Shpici,B-MOUNTAIN
64,in,O
64,its,O
64,remote,O
64,"location,",O
64,remains,O
64,untouched,O
64,and,O
64,"pristine,",O
64,appealing,O
64,to,O
64,explorers.,O
65,The,O
65,summit,O
65,of,O
65,Hoverla,B-MOUNTAIN
65,provides,O
65,a,O
65,mesmerizing,O
65,panorama,O
65,of,O
65,the,O
65,surrounding,O
65,mountain,O
65,ranges.,O
66,Valleys,O
66,around,O
66,Sinyak,B-MOUNTAIN
66,are,O
66,adorned,O
66,with,O
66,pristine,O
66,streams,O
66,and,O
66,picturesque,O
66,waterfalls.,O
67,Makovytsia,B-MOUNTAIN
67,trails,O
67,wind,O
67,through,O
67,ancient,O
67,"forests,",O
67,revealing,O
67,the,O
67,mountain's,O
67,rich,O
67,biodiversity.,O
68,Mountaineering,O
68,enthusiasts,O
68,flock,O
68,to,O
68,Petros,B-MOUNTAIN
68,for,O
68,its,O
68,challenging,O
68,and,O
68,rewarding,O
68,ascent.,O
69,Shpici,B-MOUNTAIN
69,alpine,O
69,"lakes,",O
69,hidden,O
69,"away,",O
69,offer,O
69,a,O
69,tranquil,O
69,retreat,O
69,for,O
69,those,O
69,seeking,O
69,solitude.,O
70,Hoverla,B-MOUNTAIN
70,standing,O
70,"tall,",O
70,is,O
70,a,O
70,testament,O
70,to,O
70,the,O
70,natural,O
70,wonders,O
70,of,O
70,the,O
70,Carpathian,O
70,Mountains.,O
71,Sinyak,B-MOUNTAIN
71,rugged,O
71,beauty,O
71,showcases,O
71,the,O
71,untamed,O
71,wilderness,O
71,found,O
71,within,O
71,the,O
71,region.,O
72,Makovytsia,B-MOUNTAIN
72,meadows,O
72,teem,O
72,with,O
72,the,O
72,sounds,O
72,of,O
72,buzzing,O
72,insects,O
72,and,O
72,chirping,O
72,birds.,O
73,Petros,B-MOUNTAIN
73,steeped,O
73,in,O
73,local,O
73,"folklore,",O
73,shares,O
73,stories,O
73,of,O
73,a,O
73,legendary,O
73,figure,O
73,and,O
73,ancient,O
73,traditions.,O
74,Shpici,B-MOUNTAIN
74,though,O
74,less,O
74,"visited,",O
74,enchants,O
74,those,O
74,who,O
74,discover,O
74,its,O
74,serene,O
74,beauty,O
74,and,O
74,tranquility.,O
75,Winter,O
75,ascent,O
75,of,O
75,Hoverla,B-MOUNTAIN
75,unveils,O
75,a,O
75,magical,O
75,and,O
75,enchanting,O
75,side,O
75,of,O
75,the,O
75,mountain.,O
76,Sinyak,B-MOUNTAIN
76,bathed,O
76,in,O
76,the,O
76,warm,O
76,hues,O
76,of,O
76,the,O
76,setting,O
76,"sun,",O
76,becomes,O
76,a,O
76,captivating,O
76,sight.,O
77,Makovytsia,B-MOUNTAIN
77,foothills,O
77,are,O
77,dotted,O
77,with,O
77,charming,O
77,"villages,",O
77,offering,O
77,warm,O
77,hospitality,O
77,to,O
77,visitors.,O
78,The,O
78,challenging,O
78,climb,O
78,of,O
78,Petros,B-MOUNTAIN
78,rewards,O
78,adventurers,O
78,with,O
78,breathtaking,O
78,views,O
78,of,O
78,the,O
78,Carpathians.,O
79,Shpici,B-MOUNTAIN
79,trails,O
79,provide,O
79,opportunities,O
79,to,O
79,encounter,O
79,diverse,O
79,"wildlife,",O
79,from,O
79,deer,O
79,to,O
79,soaring,O
79,eagles.,O
80,Hoverla,B-MOUNTAIN
80,slopes,O
80,burst,O
80,into,O
80,vibrant,O
80,wildflowers,O
80,during,O
80,the,O
80,summer,O
80,"months,",O
80,creating,O
80,a,O
80,colorful,O
80,display.,O
81,Skilled,O
81,rock,O
81,climbers,O
81,and,O
81,bouldering,O
81,enthusiasts,O
81,conquer,O
81,Sinyak's,B-MOUNTAIN
81,rocky,O
81,outcrops.,O
82,Makovytsia,B-MOUNTAIN
82,accessible,O
82,trails,O
82,make,O
82,it,O
82,a,O
82,suitable,O
82,destination,O
82,for,O
82,hikers,O
82,of,O
82,all,O
82,skill,O
82,levels.,O
83,The,O
83,summit,O
83,of,O
83,"Petros,",B-MOUNTAIN
83,kissed,O
83,by,O
83,the,O
83,first,O
83,light,O
83,of,O
83,"dawn,",O
83,offers,O
83,a,O
83,magical,O
83,and,O
83,serene,O
83,experience.,O
84,Shpici,B-MOUNTAIN
84,away,O
84,from,O
84,tourist,O
84,"crowds,",O
84,serves,O
84,as,O
84,a,O
84,peaceful,O
84,escape,O
84,for,O
84,those,O
84,seeking,O
84,solitude.,O
85,The,O
85,valleys,O
85,surrounding,O
85,Hoverla,B-MOUNTAIN
85,are,O
85,home,O
85,to,O
85,unique,O
85,plant,O
85,species,O
85,adapted,O
85,to,O
85,the,O
85,mountainous,O
85,climate.,O
86,Sinyak,B-MOUNTAIN
86,craggy,O
86,peaks,O
86,create,O
86,a,O
86,dramatic,O
86,silhouette,O
86,against,O
86,the,O
86,evening,O
86,sky.,O
87,Makovytsia,B-MOUNTAIN
87,diverse,O
87,ecosystem,O
87,supports,O
87,a,O
87,variety,O
87,of,O
87,"wildlife,",O
87,from,O
87,butterflies,O
87,to,O
87,elusive,O
87,mammals.,O
88,Climbers,O
88,worldwide,O
88,are,O
88,drawn,O
88,to,O
88,Petros,B-MOUNTAIN
88,for,O
88,its,O
88,reputation,O
88,as,O
88,a,O
88,challenging,O
88,and,O
88,iconic,O
88,ascent.,O
89,Shpici,B-MOUNTAIN
89,remote,O
89,location,O
89,provides,O
89,ideal,O
89,conditions,O
89,for,O
89,"stargazing,",O
89,revealing,O
89,the,O
89,wonders,O
89,of,O
89,the,O
89,night,O
89,sky.,O
90,Hoverla,B-MOUNTAIN
90,with,O
90,its,O
90,snow-covered,O
90,"slopes,",O
90,transforms,O
90,into,O
90,a,O
90,winter,O
90,wonderland,O
90,during,O
90,the,O
90,colder,O
90,months.,O
91,Sinyak,B-MOUNTAIN
91,meandering,O
91,trails,O
91,lead,O
91,to,O
91,hidden,O
91,"viewpoints,",O
91,rewarding,O
91,hikers,O
91,with,O
91,stunning,O
91,vistas.,O
92,Makovytsia,B-MOUNTAIN
92,alpine,O
92,lakes,O
92,reflect,O
92,the,O
92,majestic,O
92,surrounding,O
92,"peaks,",O
92,creating,O
92,a,O
92,mirror-like,O
92,effect.,O
93,Petros,B-MOUNTAIN
93,ancient,O
93,rock,O
93,formations,O
93,narrate,O
93,a,O
93,geological,O
93,story,O
93,spanning,O
93,thousands,O
93,of,O
93,years.,O
94,Shpici,B-MOUNTAIN
94,with,O
94,its,O
94,untouched,O
94,"landscapes,",O
94,serves,O
94,as,O
94,a,O
94,haven,O
94,for,O
94,photographers,O
94,capturing,O
94,the,O
94,raw,O
94,beauty,O
94,of,O
94,nature.,O
95,Exploring,O
95,the,O
95,foothills,O
95,of,O
95,Hoverla,B-MOUNTAIN
95,unveils,O
95,charming,O
95,villages,O
95,and,O
95,a,O
95,rich,O
95,cultural,O
95,heritage.,O
96,Sinyak,B-MOUNTAIN
96,with,O
96,its,O
96,challenging,O
96,"terrain,",O
96,becomes,O
96,a,O
96,playground,O
96,for,O
96,adrenaline,O
96,junkies,O
96,seeking,O
96,adventure.,O
97,Blanketed,O
97,in,O
97,snow,O
97,during,O
97,"winter,",O
97,Makovytsia,B-MOUNTAIN
97,transforms,O
97,into,O
97,a,O
97,serene,O
97,and,O
97,peaceful,O
97,destination.,O
98,Petros,B-MOUNTAIN
98,towering,O
98,cliffs,O
98,provide,O
98,nesting,O
98,grounds,O
98,for,O
98,"birds,",O
98,attracting,O
98,birdwatchers,O
98,to,O
98,the,O
98,area.,O
99,Shpici,B-MOUNTAIN
99,embraced,O
99,by,O
99,the,O
99,tranquility,O
99,of,O
99,"nature,",O
99,invites,O
99,visitors,O
99,to,O
99,disconnect,O
99,and,O
99,rejuvenate.,O
